Language, English, German, Russian
v54, "%1 (%2) confiscated %3 from you!", "%1 (%2) confiscated %3 from you!", "%1 (%2) confiscated %3 from you!"
v55, "%1 (%2) destroyed %3 units of your %4!", "%1 (%2) destroyed %3 units of your %4!", "%1 (%2) destroyed %3 units of your %4!"
v56, "%4 (%5) confiscated %2 units of %3 from you!", "%4 (%5) confiscated %2 units of %3 from you!", "%4 (%5) confiscated %2 units of %3 from you!"
v58, "%1 (%2) destroyed %3 units of your %4!", "%1 (%2) destroyed %3 units of your %4!", "%1 (%2) destroyed %3 units of your %4!"
v60, "%3 gave you %1 units of %2!", "%3 gave you %1 units of %2!", "%3 gave you %1 units of %2!"
v61, "A vehicle with the license plate %1 was stolen!", "A vehicle with the license plate %1 was stolen!", "A vehicle with the license plate %1 was stolen!"
v62, "Added log with title %1 to database!", "Added log with title %1 to database!", "Added log with title %1 to database!"
v63, "Adding %1 units of %2 would put you over the %3 limit of %4kg!", "Adding %1 units of %2 would put you over the %3 limit of %4kg!", "Adding %1 units of %2 would put you over the %3 limit of %4kg!"
v66, "Better luck next time!", "Better luck next time!", "Better luck next time!"
v68, "Can't remove that many units!", "Can't remove that many units!", "Can't remove that many units!"
v69, "Chose a location on map to go there", "Chose a location on map to go there", "Chose a location on map to go there"
v70, "Completed production for %1 units of %2!", "Completed production for %1 units of %2!", "Completed production for %1 units of %2!"
v71, "Deleted message: %1", "Deleted message: %1", "Deleted message: %1"
v72, "Don't try and drop so much!", "Don't try and drop so much!", "Don't try and drop so much!"
v73, "Don't try and give so much!", "Don't try and give so much!", "Don't try and give so much!"
v74, "Don't try and use so much!", "Don't try and use so much!", "Don't try and use so much!"
v75, "Driver: %1 \nVehicle: %2 \nDamage: %3 \nSpeed: %4 \nFuel: %5 \nRegistration: %6 \nPassengers: %7", "Driver: %1 \nVehicle: %2 \nDamage: %3 \nSpeed: %4 \nFuel: %5 \nRegistration: %6 \nPassengers: %7", "Driver: %1 \nVehicle: %2 \nDamage: %3 \nSpeed: %4 \nFuel: %5 \nRegistration: %6 \nPassengers: %7"
v76, "Failed to add %1 to storage!", "Failed to add %1 to storage!", "Failed to add %1 to storage!"
v77, "Identical message already exists!", "Identical message already exists!", "Identical message already exists!"
v78, "Identical title already exists!", "Identical title already exists!", "Identical title already exists!"
v83, "Message doesn't exist!", "Message doesn't exist!", "Message doesn't exist!"
v84, "Message is unchanged!", "Message is unchanged!", "Message is unchanged!"
v85, "Message must be 32 or less characters!", "Message must be 32 or less characters!", "Message must be 32 or less characters!"
v86, "Message must be 8 or more characters!", "Message must be 8 or more characters!", "Message must be 8 or more characters!"
v87, "Message: %1 was updated successfully!", "Message: %1 was updated successfully!", "Message: %1 was updated successfully!"
v88, "Change amount of Cash to 10000 for roll or 100000 for bag.", "Change amount of Cash to 10000 for roll or 100000 for bag.", "Change amount of Cash to 10000 for roll or 100000 for bag."
v89, "No vehicles are nearby!", "No vehicles are nearby!", "No vehicles are nearby!"
v90, "Owner's in area!", "Owner's in area!", "Owner's in area!"
v91, "Planted a bomb on target", "Planted a bomb on target", "Planted a bomb on target"
v92, "Player doesn't need medical attention", "Player doesn't need medical attention", "Player doesn't need medical attention"
v93, "Player isn't online anymore!", "Player isn't online anymore!", "Player isn't online anymore!"
v94, "Player isn't restrained!", "Player isn't restrained!", "Player isn't restrained!"
v95, "Please deliver %1 to %2!", "Please deliver %1 to %2!", "Please deliver %1 to %2!"
v96, "Please leave %1 before trying to join %2!", "Please leave %1 before trying to join %2!", "Please leave %1 before trying to join %2!"
v97, "Please login!", "Please login!", "Please login!"
v98, "Please use a shorter group name!", "Please use a shorter group name!", "Please use a shorter group name!"
v99, "Please wait %1 seconds!", "Please wait %1 seconds!", "Please wait %1 seconds!"
v100, "Registered %1 to %2", "Registered %1 to %2", "Registered %1 to %2"
v101, "Released your %1 (%2)!", "Released your %1 (%2)!", "Released your %1 (%2)!"
v102, "Released %1's %2 (%3)!", "Released %1's %2 (%3)!", "Released %1's %2 (%3)!"
v103, "Shop failed to remove stock for that item!", "Shop failed to remove stock for that item!", "Shop failed to remove stock for that item!"
v104, "Someone's already using group menu!", "Someone's already using group menu!", "Someone's already using group menu!"
v105, "Somethng doesn't seem right...", "Somethng doesn't seem right...", "Somethng doesn't seem right..."
v106, "STATS HAVE BEEN SAVED IN: %1 SECONDS", "Stats saved in: %1 seconds", "Stats saved in: %1 seconds"
v107, "SAVING STATS", "Stats Saving", "Stats Saving"
v108, "Stopped production!", "Stopped production!", "Stopped production!"
v109, "Storage doesn't contain that many units!", "Storage doesn't contain that many units!", "Storage doesn't contain that many units!"
v110, "Storage is empty!", "Storage is empty!", "Storage is empty!"
v111, "Target is not rigged!", "Target is not rigged!", "Target is not rigged!"
v112, "The company wouldn't appreciate you having held onto so many %1", "The company wouldn't appreciate you having held onto so many %1", "The company wouldn't appreciate you having held onto so many %1"
v113, "The current fee is the same as entered!", "The current fee is the same as entered!", "The current fee is the same as entered!"
v114, "The delivery has failed and you were swindled $%1!", "The delivery has failed and you were swindled $%1!", "The delivery has failed and you were swindled $%1!"
v115, "The %1 storage doesn't accept this item!", "The %1 storage doesn't accept this item!", "The %1 storage doesn't accept this item!"
v116, "The fee must be at least $%1!", "The fee must be at least $%1!", "The fee must be at least $%1!"
v117, "The player doesn't have his hands up!", "The player doesn't have his hands up!", "The player doesn't have his hands up!"
v118, "%1 (%2) has no items!", "%1 (%2) has no items!", "%1 (%2) has no items!"
v119, "There was a shop error!", "There was a shop error!", "There was a shop error!"
v120, "The shop failed to take $%1!", "The shop failed to take $%1!", "The shop failed to take $%1!"
v121, "The vehicle isn't close enough to store!", "The vehicle isn't close enough to store!", "The vehicle isn't close enough to store!"
v122, "The weapon is already full of ammo!", "The weapon is already full of ammo!", "The weapon is already full of ammo!"
v123, "There are no vehicles nearby!", "There are no vehicles nearby!", "There are no vehicles nearby!"
v124, "There are too many logs already in the system!", "There are too many logs already in the system!", "There are too many logs already in the system!"
v125, "There aren't that many units in stock!", "There aren't that many units in stock!", "There aren't that many units in stock!"
v126, "There aren't that many units in the trunk!", "There aren't that many units in the trunk!", "There aren't that many units in the trunk!"
v127, "There aren't that many units of %1 in your %2!", "There aren't that many units of %1 in your %2!", "There aren't that many units of %1 in your %2!"
v128, "There is a vehicle blocking the spawn!", "There is a vehicle blocking the spawn!", "There is a vehicle blocking the spawn!"
v129, "There is already a bomb rigged on this target!", "There is already a bomb rigged on this target!", "There is already a bomb rigged on this target!"
v130, "There was a problem dropping the units!", "There was a problem dropping the units!", "There was a problem dropping the units!"
v131, "There was a problem taking the units!", "There was a problem taking the units!", "There was a problem taking the units!"
v132, "This area is being taken over by a rival group!", "This area is being taken over by a rival group!", "This area is being taken over by a rival group!"
v133, "This player is already restrained!", "This player is already restrained!", "This player is already restrained!"
v134, "This player is not in-game!", "This player is not in-game!", "This player is not in-game!"
v135, "This vehicle has no engine to rig!", "This vehicle has no engine to rig!", "This vehicle has no engine to rig!"
v136, "This vehicle is already tuned!", "This vehicle is already tuned!", "This vehicle is already tuned!"
v137, "Throttling login attempts for 30 seconds.", "Throttling login attempts for 30 seconds.", "Throttling login attempts for 30 seconds."
v138, "Title must be 26 or less characters!", "Title must be 26 or less characters!", "Title must be 26 or less characters!"
v139, "Title must be 3 or more characters!", "Title must be 3 or more characters!", "Title must be 3 or more characters!"
v140, "Updated fee for %1 to $%2!", "Updated fee for %1 to $%2!", "Updated fee for %1 to $%2!"
v141, "Vehicle doesn't exist!", "Vehicle doesn't exist!", "Vehicle doesn't exist!"
v142, "Vehicle is too far away to sell!", "Vehicle is too far away to sell!", "Vehicle is too far away to sell!"
v143, "Vehicle isn't locked", "Vehicle isn't locked", "Vehicle isn't locked"
v144, "Vehicle not in keyring!", "Vehicle not in keyring!", "Vehicle not in keyring!"
v145, "You can't lockpick your own car!", "You can't lockpick your own car!", "You can't lockpick your own car!"
v146, "You added %1 units of %2 to factory storage!", "You added %1 units of %2 to factory storage!", "You added %1 units of %2 to factory storage!"
v147, "You already control this area!", "You already control this area!", "You already control this area!"
v148, "You already have armor equipped..", "You already have armor equipped..", "You already have armor equipped.."
v149, "You already have this key!", "You already have this key!", "You already have this key!"
v150, "You already own %1!", "You already own %1!", "You already own %1!"
v151, "You are already in %1!", "You are already in %1!", "You are already in %1!"
v152, "You are already making a delivery for %1!", "You are already making a delivery for %1!", "You are already making a delivery for %1!"
v153, "You are now the new leader of %1!", "You are now the new leader of %1!", "You are now the new leader of %1!"
v154, "You are now the proud owner of %1", "You are now the proud owner of %1", "You are now the proud owner of %1"
v155, "You are too far away from this player to give him a key!", "You are too far away from this player to give him a key!", "You are too far away from this player to give him a key!"
v156, "You are too far away!", "You are too far away!", "You are too far away!"
v157, "You are too far to give the item to this person!", "You are too far to give the item to this person!", "You are too far to give the item to this person!"
v158, "You arrived at %1 and received $%2.", "You arrived at %1 and received $%2.", "You arrived at %1 and received $%2."
v159, "You can only drop %1 units!", "You can only drop %1 units!", "You can only drop %1 units!"
v160, "You can only drop one at a time!", "You can only drop one at a time!", "You can only drop one at a time!"
v161, "You can only order as many mags as the weapon holds.", "You can only order as many mags as the weapon holds.", "You can only order as many mags as the weapon holds."
v162, "You can only take %1 units!", "You can only take %1 units!", "You can only take %1 units!"
v163, "You can't confiscate that many units!", "You can't confiscate that many units!", "You can't confiscate that many units!"
v164, "You can't destroy that many units!", "You can't destroy that many units!", "You can't destroy that many units!"
v165, "You can't do this from inside a vehicle!", "You can't do this from inside a vehicle!", "You can't do this from inside a vehicle!"
v166, "You can't drop that many %1!", "You can't drop that many %1!", "You can't drop that many %1!"
v167, "You can't give yourself items!", "You can't give yourself items!", "You can't give yourself items!"
v168, "You can't kick yourself!", "You can't kick yourself!", "You can't kick yourself!"
v169, "You can't order that many!", "You can't order that many!", "You can't order that many!"
v170, "You can't search yourself!", "You can't search yourself!", "You can't search yourself!"
v171, "You can't sell this!", "You can't sell this!", "You can't sell this!"
v172, "You can't take that many %1!", "You can't take that many %1!", "You can't take that many %1!"
v173, "You can't use this on yourself!", "You can't use this on yourself!", "You can't use this on yourself!"
v174, "You can't use this reserved name!", "You can't use this reserved name!", "You can't use this reserved name!"
v175, "You cancelled your delivery!", "You cancelled your delivery!", "You cancelled your delivery!"
v176, "You confiscated %1 from %2 (%3)!", "You confiscated %1 from %2 (%3)!", "You confiscated %1 from %2 (%3)!"
v177, "You confiscated %1 units of %2 from %3 (%4)!", "You confiscated %1 units of %2 from %3 (%4)!", "You confiscated %1 units of %2 from %3 (%4)!"
v178, "You created %1!", "You created %1!", "You created %1!"
v179, "You destroyed %1 units of %3's (%4) %2!", "You destroyed %1 units of %3's (%4) %2!", "You destroyed %1 units of %3's (%4) %2!"
v180, "You destroyed %2's (%3) %1!", "You destroyed %2's (%3) %1!", "You destroyed %2's (%3) %1!"
v181, "You disbanded %1!", "You disbanded %1!", "You disbanded %1!"
v182, "You don't have any magazines!", "You don't have any magazines!", "You don't have any magazines!"
v183, "You don't have enough resources in storage to cover the order!", "You don't have enough resources in storage to cover the order!", "You don't have enough resources in storage to cover the order!"
v184, "You don't have enough slots to carry the magazines!", "You don't have enough slots to carry the magazines!", "You don't have enough slots to carry the magazines!"
v185, "You don't have that many magazines!", "You don't have that many magazines!", "You don't have that many magazines!"
v186, "You don't have the required license(s)!", "You don't have the required license(s)!", "You don't have the required license(s)!"
v187, "You don't have any handcuffs!", "You don't have any handcuffs!", "You don't have any handcuffs!"
v188, "You dropped %1 units of %2!", "You dropped %1 units of %2!", "You dropped %1 units of %2!"
v189, "You dropped the key to your %1!", "You dropped the key to your %1!", "You dropped the key to your %1!"
v190, "You duplicated the key for %1 and gave it to %2 (%3)!", "You duplicated the key for %1 and gave it to %2 (%3)!", "You duplicated the key for %1 and gave it to %2 (%3)!"
v191, "You gave %1 units of %2 to %3", "You gave %1 units of %2 to %3", "You gave %1 units of %2 to %3"
v192, "You gave the key for %1 to %2 (%3)!", "You gave the key for %1 to %2 (%3)!", "You gave the key for %1 to %2 (%3)!"
v193, "You healed %1", "You healed %1", "You healed %1"
v194, "You healed yourself", "You healed yourself", "You healed yourself"
v195, "You impounded %1's %2 (%3)!", "You impounded %1's %2 (%3)!", "You impounded %1's %2 (%3)!"
v196, "You joined %1 for $%2!", "You joined %1 for $%2!", "You joined %1 for $%2!"
v197, "You kicked %1 from %2 and can now buy it for $%3", "You kicked %1 from %2 and can now buy it for $%3", "You kicked %1 from %2 and can now buy it for $%3"
v198, "You kicked %1 out of %2!", "You kicked %1 out of %2!", "You kicked %1 out of %2!"
v199, "You left %1!", "You left %1!", "You left %1!"
v200, "You lock-picked %1", "You lock-picked %1", "You lock-picked %1"
v201, "You locked %1!", "You locked %1!", "You locked %1!"
v202, "You must aim at the target to STUN!", "You must aim at the target to STUN!", "You must aim at the target to STUN!"
v203, "You must be in a group to do this!", "You must be in a group to do this!", "You must be in a group to do this!"
v204, "You must be looking at a target to use this!", "You must be looking at a target to use this!", "You must be looking at a target to use this!"
v205, "You must be looking at the target to confiscate!", "You must be looking at the target to confiscate!", "You must be looking at the target to confiscate!"
v206, "You must be looking at the target to destroy items!", "You must be looking at the target to destroy items!", "You must be looking at the target to destroy items!"
v207, "You must do this from outside of the vehicle!", "You must do this from outside of the vehicle!", "You must do this from outside of the vehicle!"
v208, "You must have a target!", "You must have a target!", "You must have a target!"
v209, "You must order at least one unit!", "You must order at least one unit!", "You must order at least one unit!"
v210, "You must purchase at least one unit!", "You must purchase at least one unit!", "You must purchase at least one unit!"
v211, "You need $%1 to purchase %2!", "You need $%1 to purchase %2!", "You need $%1 to purchase %2!"
v212, "You need a pair of handcuffs for this action!", "You need a pair of handcuffs for this action!", "You need a pair of handcuffs for this action!"
v213, "You purchased %1 for $%2!", "You purchased %1 for $%2!", "You purchased %1 for $%2!"
v214, "You purchased %1 units of %2 for $%3", "You purchased %1 units of %2 for $%3", "You purchased %1 units of %2 for $%3"
v215, "You received the keys to %1!", "You received the keys to %1!", "You received the keys to %1!"
v216, "You rejoined %1", "You rejoined %1", "You rejoined %1"
v217, "You released %1!", "You released %1!", "You released %1!"
v218, "You restrained %1!", "You restrained %1!", "You restrained %1!"
v219, "You seem to have lost the %1!", "You seem to have lost the %1!", "You seem to have lost the %1!"
v220, "You sold %1 units of %2 for $%3", "You sold %1 units of %2 for $%3", "You sold %1 units of %2 for $%3"
v221, "You stunned %1 (%2)!", "You stunned %1 (%2)!", "You stunned %1 (%2)!"
v222, "You took %1 unit(s) of %2 from %3!", "You took %1 unit(s) of %2 from %3!", "You took %1 unit(s) of %2 from %3!"
v223, "You took %1 units of %2!", "You took %1 units of %2!", "You took %1 units of %2!"
v224, "You unlocked %1!", "You unlocked %1!", "You unlocked %1!"
v225, "You used %1 units of %2.", "You used %1 units of %2.", "You used %1 units of %2."
v226, "You were kicked out of %1!", "You were kicked out of %1!", "You were kicked out of %1!"
v227, "You were released by %1!", "You were released by %1!", "You were released by %1!"
v228, "You were restrained by %1!", "You were restrained by %1!", "You were restrained by %1!"
v229, "You were stunned by %1 (%2)!", "You were stunned by %1 (%2)!", "You were stunned by %1 (%2)!"
v230, "You're not hungry!", "You're not hungry!", "You're not hungry!"
v231, "You've equipped armor.", "You've equipped armor.", "You've equipped armor."
v232, "You've taken over the area", "You've taken over the area", "You've taken over the area"
v233, "Your gear already contains this item!", "Your gear already contains this item!", "Your gear already contains this item!"
v234, "Your gear's slot for this type of item is already used!", "Your gear's slot for this type of item is already used!", "Your gear's slot for this type of item is already used!"
v235, "STATS SAVED", "STATS SAVED", "STATS SAVED"
v236, "Lose some weight, fatty!", "Lose some weight, fatty!", "Lose some weight, fatty!"
v237, "Vehicle must be unlocked to access %1!", "Vehicle must be unlocked to access %1!", "Vehicle must be unlocked to access %1!"
v238, "Air License", "Air License", "Air License"
v239, "Buy Air License [$%1]", "Buy Air License [$%1]", "Buy Air License [$%1]"
v240, "Boat License", "Boat License", "Boat License"
v241, "Buy Boat License [$%1]", "Buy Boat License [$%1]", "Buy Boat License [$%1]"
v242, "Car License", "Car License", "Car License"
v243, "Buy Car License [$%1]", "Buy Car License [$%1]", "Buy Car License [$%1]"
v244, "Pickup License", "Pickup License", "Pickup License"
v245, "Buy Pickup License [$%1]", "Buy Pickup License [$%1]", "Buy Pickup License [$%1]"
v246, "Truck License", "Truck License", "Truck License"
v247, "Buy Truck License [$%1]", "Buy Truck License [$%1]", "Buy Truck License [$%1]"
v248, "Pistol License", "Pistol License", "Pistol License"
v249, "Buy Pistol License [$10000]", "Buy Pistol License [$10000]", "Buy Pistol License [$10000]"
v250, "Rifle License", "Rifle License", "Rifle License"
v251, "Buy Rifle License [$15000]", "Buy Rifle License [$15000]", "Buy Rifle License [$15000]"
v252, "", "", ""
v253, "", "", ""
v254, "", "", ""
v255, "", "", ""
v256, "", "", ""
v257, "", "", ""
v258, "", "", ""
v259, "", "", ""
v260, "", "", ""
v261, "", "", ""
v262, "", "", ""
v263, "", "", ""
v264, "", "", ""
v265 ,"", "", ""
v266, "", "", ""
v267, "", "", ""
v268, "", "", ""
v269, "", "", ""
v270, "<t color='#FF00FF'>Produce Rifle Parts</t>", "Produce Rifle Parts", "Produce Rifle Parts"
v271, "<t color='#FF00FF'>Stop Producing Rifle Parts</t>", "Stop Producing Parts", "Stop Producing Parts"
v272, "<t color='#FF00FF'>Produce Explosives</t>", "Produce Explosives", "Produce Explosives"
v273, "<t color='#FF00FF'>Stop Producing Explosives</t>", "Stop Producing Explosives", "Stop Producing Explosives"
v274, "<t color='#FF00FF'>Produce Rifle Parts</t>", "Produce Rifle Parts", "Produce Rifle Parts"
v275, "<t color='#FF00FF'>Stop Producing Parts</t>", "Stop Producing Parts", "Stop Producing Parts"
v276, "<t color='#FF00FF'>Produce Car Parts</t>", "Produce Car Parts", "Produce Car Parts"
v277, "<t color='#FF00FF'>Stop Producing Parts</t>", "Stop Producing Parts", "Stop Producing Parts"
v278, "<t color='#FF00FF'>Produce Heavy Vehicle Parts</t>", "Produce Heavy Vehicle Parts", "Produce Heavy Vehicle Parts"
v279, "<t color='#FF00FF'>Stop Producing Parts</t>", "Stop Producing Parts", "Stop Producing Parts"
v280, "<t color='#FF00FF'>Produce Pistol Parts</t>", "Produce Pistol Parts", "Produce Pistol Parts"
v281, "Stop Producing Parts", "Stop Producing Parts", "Stop Producing Parts"
v282, "Produce Ammunition", "Produce Ammunition", "Produce Ammunition"
v283, "Stop Producing Ammunition", "Stop Producing Ammunition", "Stop Producing Ammunition"
v284, "Produce Pickup Parts", "Produce Pickup Parts", "Produce Pickup Parts"
v285, "Stop Producing Parts", "Stop Producing Parts", "Stop Producing Parts"
v286, "Coca Field", "Coca Field", "Coca Field"
v287, "Cotton Field", "Cotton Field", "Cotton Field"
v288, "Hops Field", "Hops Field", "Hops Field"
v289, "LSD Field", "LSD Field", "LSD Field"
v290, "Marijuana Field", "Marijuana Field", "Marijuana Field"
v291, "Poppy Field", "Poppy Field", "Poppy Field"
v292, "Potato Field", "Potato Field", "Potato Field"
v293, "Rye Field", "Rye Field", "Rye Field"
v294, "Fishing Area", "Fishing Area", "Fishing Area"
v295, "<t color='#FF00FF'>Market</t>", "Market", "Market"
v296, "<t color='#FF00FF'>Petrol Shop</t>", "Petrol Shop", "Petrol Shop"
v297, "<t color='#FF00FF'>Item Shop</t>", "Item Shop", "Item Shop"
v298, "<t color='#FF00FF'>Misc Helicopters</t>", "Misc Helicopters", "Misc Helicopters"
v299, "<t color='#FF00FF'>MH6J Helicopters</t>", "MH6J Helicopters", "MH6J Helicopters"
v300, "<t color='#FF00FF'>Small Aircrafts</t>", "Small Aircraft", "Small Aircraft"
v301, "<t color='#FF00FF'>Commericial Aircrafts</t>", "Commercial Aircraft", "Commercial Aircraft"
v302, "<t color='#FF00FF'>Boats</t>", "Boats", "Boats"
v303, "<t color='#FF00FF'>Jet-Skis</t>", "Jet-Skis", "Jet-Skis"
v304, "<t color='#FF00FF'>Used Cars</t>", "Used Cars", "Used Cars"
v305, "<t color='#FF00FF'>American Cars</t>", "American Cars", "American Cars"
v306, "<t color='#FF00FF'>Japanese Cars</t>", "Japanese Cars", "Japanese Cars"
v307, "<t color='#FF00FF'>European Cars</t>", "European Cars", "European Cars"
v308, "<t color='#FF00FF'>Executive Vehicles</t>", "Executive Vehicles", "Executive Vehicles"
v309, "<t color='#FF00FF'>Bicycles</t>", "Bicycles", "Bicycles"
v310, "<t color='#FF00FF'>Clasic Motorcycles</t>", "Classic Motorcycles", "Classic Motorcycles"
v311, "<t color='#FF00FF'>Sport Motorcycles</t>", "Sport Motorcycles", "Sport Motorcycles"
v312, "<t color='#FF00FF'>Quads/t>", "Quads", "Quads"
v313, "<t color='#FF00FF'>Pickups & SUV's</t>", "Pickups & SUVs", "Pickups & SUVs"
v314, "<t color='#FF00FF'>Trucks</t>", "Trucks", "Trucks"
v315, "<t color='#FF00FF'>Weapons & Ammunition</t>", "Weapons and Ammunition", "Weapons and Ammunition"
v316, "<t color='#FF00FF'>Illegal Weapons & Ammunition</t>", "Illegal Weapons and Ammunition", "Illegal Weapons and Ammunition"
v317, "<t color='#FF00FF'>Hunting Supplies</t>", "Hunting Supplies", "Hunting Supplies"
v318, "<t color='#FF00FF'>Mari Dealer</t>", "Marijuana Dealer", "Marijuana Dealer"
v319, "<t color='#FF00FF'>Cocaine Dealer</t>", "Cocaine Dealer", "Cocaine Dealer"
v320, "<t color='#FF00FF'>Meth Dealer</t>", "Meth Dealer", "Meth Dealer"
v321, "<t color='#FF00FF'>Gear</t>", "Gear", "Gear"
v322, "<t color='#FF00FF'>Equipment</t>", "Equipment", "Equipment"
v323, "<t color='#FF00FF'>Helicopters</t>", "Helicopters", "Helicopters"
v324, "<t color='#FF00FF'>Motorcycles</t>", "Motorcycles", "Motorcycles"
v325, "<t color='#FF00FF'>Undercover Vehicles</t>", "Undercover Cars", "Undercover Cars"
v326, "<t color='#FF00FF'>K9 Vehicles</t>", "K9 Cars", "K9 Cars"
v327, "<t color='#FF00FF'>Patrol Vehicles</t>", "Patrol Cars", "Patrol Cars"
v328, "Go to Helipad", "Go to Helipad", "Go to Helipad"
v329, "Go back down", "Go back down", "Go back down"
v330, "<t color='#FF00FF'>Equipment</t>", "Equipment", "Equipment"
v331, "FD Vehicles", "FD Vehicles", "FD Vehicles"
v332, "FD Helicopters", "FD elicopters", "FD elicopters"
v333, "<t color='#00FF80'>Group Menu</t>", "Group Menu", "Group Menu"
v334, "Distillery", "Distillery", "Distillery"
v335, "<t color='#FF00FF'>Food Factory</t>", "Food Factory", "Food Factory"
v336, "<t color='#FF00FF'>Item Factory</t>", "Item Factory", "Item Factory"
v337, "<t color='#FF00FF'>Resource Factory</t>", "Resource Factory", "Resource Factory"
v338, "<t color='#FF00FF'>Textile Factory</t>", "Textile Factory", "Textile Factory"
v339, "<t color='#FF00FF'>Seeds</t>", "Seeds", "Seeds"
v340, "<t color='#FF00FF'>Pharmacy</t>", "Pharmacy", "Pharmacy"
v341, "<t color='#00FF80'>Groups</t>", "Groups", "Groups"
v342, "", "", ""
v343, "<t color='#C9CBCB'>Storage (Civ)</t>", "Storage (Civ)", "Storage (Civ)"
v344, "<t color='#C9CBCB'>ATM</t>", "ATM", "ATM"
v345, "<t color='#C9CBCB'>Access Bank</t>", "Bank", "Bank"
v346, "ATM", "ATM", "ATM"
v347, "Bank", "Bank", "Bank"
v351, "Mayor", "Mayor", "Mayor"
